EXPORTED CROSS SECTION DATA
69 48 48
x coordinate
Abs Net Doping
Composition X
Composition Y
Donor Conc
Acceptor Conc
Potential
e- Mobility
h+ Mobility
Electric Field
Electron Conc
Hole Conc
Cond. Current Density
Disp. Current Density
Electron QFL
Hole QFL
Valence Band Energy
Conduction Band Energy
Net Doping
Recombination Rate
E Field X
E Field Y
Lattice Temperature
e- Mobility X
e- Mobility Y
h+ Mobility X
h+ Mobility Y
Total Doping
h+ Current Density
e- Current Density
Current Flowlines
Total Current Density
Je- X
Jh+ X
Jtot X
Je- Y
Jh+ Y
Jtot Y
e- Mobility Z
h+ Mobility Z
e- SRH Tno
h+ SRH Tno
Cond Current X
Cond Current Y
Jtot Z
Je- Z
Jh+ Z
E Field Z
0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4637605960e+00 1.8012777643e+01 1.2467788989e+01 9.4721928523e+05 2.1315819173e+01 -1.6506268600e+00 7.2286309296e+06 0.0000000000e+00 -7.9972374625e-01 -7.6068437259e-01 -1.9909586772e+00 -9.1095867864e-01 2.0000000000e+01 -4.8038069767e+06 1.3645886256e+05 -8.9849867367e+05 3.0000000000e+02 4.0742491667e+01 2.8708256319e+01 2.3984017777e+01 1.6905121866e+01 2.0000000000e+01 1.5562126854e-14 7.2286309296e+06 4.1243063823e-01 7.2286309296e+06 1.8184225896e+06 4.3202717935e-15 1.8184225896e+06 -6.6486634192e+06 -1.4184658753e-14 -6.6486634192e+06 5.5703231941e+01 3.7345443428e+01 1.0000000000e-07 1.0000000000e-07 1.8184225896e+06 -6.6486634192e+06 6.9612659660e+00 6.9612659660e+00 8.0098262622e-21 -3.7826449468e+02 
1.8000000000e-04 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4637482230e+00 1.8009003802e+01 1.2465214493e+01 9.4732752606e+05 2.1315821179e+01 -1.6520317343e+00 7.4041328328e+06 0.0000000000e+00 -7.9971125371e-01 -7.6058837235e-01 -1.9909463041e+00 -9.1094630578e-01 2.0000000000e+01 -4.8052839779e+06 1.3651315291e+05 -8.9858834112e+05 3.0000000000e+02 4.0740559326e+01 2.8699970239e+01 2.3982161087e+01 1.6899546605e+01 2.0000000000e+01 1.5559549126e-14 7.4041328328e+06 4.1195813611e-01 7.4041328328e+06 1.9202354821e+06 4.3190992376e-15 1.9202354821e+06 -6.7882692504e+06 -1.4182269151e-14 -6.7882692504e+06 5.5703065571e+01 3.7344327189e+01 1.0000000000e-07 1.0000000000e-07 1.9202354821e+06 -6.7882692504e+06 6.9616482698e+00 6.9616482698e+00 8.0088890117e-21 -3.7826449468e+02 
5.0000000000e-04 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4637416828e+00 1.8002059829e+01 1.2460533259e+01 9.4756602064e+05 2.1315820138e+01 -1.6526626879e+00 7.7106541719e+06 0.0000000000e+00 -7.9970477544e-01 -7.6054427362e-01 -1.9909397645e+00 -9.1093976555e-01 2.0000000000e+01 -4.8060636478e+06 1.3654024725e+05 -8.9882624460e+05 3.0000000000e+02 4.0736430149e+01 2.8693026266e+01 2.3977815723e+01 1.6894865370e+01 2.0000000000e+01 1.5561602555e-14 7.7106541719e+06 4.1088524360e-01 7.7106541719e+06 1.9343727576e+06 4.3181700073e-15 1.9343727576e+06 -7.0930308490e+06 -1.4184521437e-14 -7.0930308490e+06 5.5700492418e+01 3.7341742185e+01 1.0000000000e-07 1.0000000000e-07 1.9343727576e+06 -7.0930308490e+06 6.9619562426e+00 6.9619562426e+00 8.0084348081e-21 -3.7826449468e+02 
6.8000000000e-04 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4637022077e+00 1.7989766694e+01 1.2452110767e+01 9.4791421577e+05 2.1315822749e+01 -1.6569838532e+00 8.2608971930e+06 0.0000000000e+00 -7.9966514477e-01 -7.6024757448e-01 -1.9909002897e+00 -9.1090029027e-01 2.0000000000e+01 -4.8106071374e+06 1.3671386827e+05 -8.9911395086e+05 3.0000000000e+02 4.0730287511e+01 2.8666283703e+01 2.3971886086e+01 1.6876877810e+01 2.0000000000e+01 1.5551168591e-14 8.2608971930e+06 4.1259678269e-01 8.2608971930e+06 2.2531834609e+06 4.3144499171e-15 2.2531834609e+06 -7.5310581766e+06 -1.4174581381e-14 -7.5310581766e+06 5.5694631075e+01 3.7214043527e+01 1.0000000000e-07 1.0000000000e-07 2.2531834609e+06 -7.5310581766e+06 1.7889129140e+01 1.7889129140e+01 1.8331853078e-20 -9.2030664997e+02 
1.0000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4636813871e+00 1.7967089943e+01 1.2435013042e+01 9.4867639421e+05 2.1315815625e+01 -1.6589291212e+00 9.2288488859e+06 0.0000000000e+00 -7.9964474825e-01 -7.6011095886e-01 -1.9908794695e+00 -9.1087946968e-01 2.0000000000e+01 -4.8130707442e+06 1.3679943970e+05 -8.9987362838e+05 3.0000000000e+02 4.0717147330e+01 2.8643606953e+01 2.3958008175e+01 1.6859780086e+01 2.0000000000e+01 1.5551789206e-14 9.2288488859e+06 4.1562562126e-01 9.2288488859e+06 2.2962824866e+06 4.3117503889e-15 2.2962824866e+06 -8.4937280749e+06 -1.4175579461e-14 -8.4937280749e+06 5.5678583896e+01 3.7110930110e+01 1.0000000000e-07 1.0000000000e-07 2.2962824866e+06 -8.4937280749e+06 2.2056822756e+01 2.2056822756e+01 2.4160884783e-20 -1.2059124894e+03 
1.1800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4636066279e+00 1.7942221002e+01 1.2418118094e+01 9.4935095647e+05 2.1315798713e+01 -1.6664678620e+00 1.0228140765e+07 0.0000000000e+00 -7.9957099581e-01 -7.5958744433e-01 -1.9908047106e+00 -9.1080471068e-01 2.0000000000e+01 -4.8212103285e+06 1.3713399490e+05 -9.0043086019e+05 3.0000000000e+02 4.0705472639e+01 2.8590804463e+01 2.3946658087e+01 1.6824592570e+01 2.0000000000e+01 1.5534327401e-14 1.0228140765e+07 4.1729783562e-01 1.0228140765e+07 2.8733347045e+06 4.3050377086e-15 2.8733347045e+06 -9.2906914995e+06 -1.4159031852e-14 -9.2906914995e+06 5.5669168953e+01 3.6948224983e+01 1.0000000000e-07 1.0000000000e-07 2.8733347045e+06 -9.2906914995e+06 3.5843034989e+01 3.5843034989e+01 3.4740867397e-20 -1.9115938106e+03 
1.5000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4635672116e+00 1.7896403355e+01 1.2385293190e+01 9.5080210239e+05 2.1315764309e+01 -1.6698662320e+00 1.2012553751e+07 0.0000000000e+00 -7.9953362755e-01 -7.5934573473e-01 -1.9907652934e+00 -9.1076529437e-01 2.0000000000e+01 -4.8259481168e+06 1.3729578095e+05 -9.0187665499e+05 3.0000000000e+02 4.0680485661e+01 2.8544986815e+01 2.3920150539e+01 1.6791767666e+01 2.0000000000e+01 1.5538021714e-14 1.2012553751e+07 4.2010339107e-01 1.2012553751e+07 2.9468246846e+06 4.3001983648e-15 2.9468246846e+06 -1.1066450752e+07 -1.4163532819e-14 -1.1066450752e+07 5.5643781325e+01 3.6816801904e+01 1.0000000000e-07 1.0000000000e-07 2.9468246846e+06 -1.1066450752e+07 4.0927960759e+01 4.0927960759e+01 4.0683311211e-20 -2.2835110213e+03 
1.6800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4634380909e+00 1.7846188407e+01 1.2351753475e+01 9.5204401705e+05 2.1315636110e+01 -1.6811658261e+00 1.3591857285e+07 0.0000000000e+00 -7.9941213795e-01 -7.5854398854e-01 -1.9906361731e+00 -9.1063617365e-01 2.0000000000e+01 -4.8399058406e+06 1.3790924710e+05 -9.0290070599e+05 3.0000000000e+02 4.0659435655e+01 2.8443030387e+01 2.3899365270e+01 1.6725057540e+01 2.0000000000e+01 1.5509723477e-14 1.3591857285e+07 4.2188432323e-01 1.3591857285e+07 3.8538898118e+06 4.2882184102e-15 3.8538898118e+06 -1.2329791460e+07 -1.4137303154e-14 -1.2329791460e+07 5.5624320895e+01 3.6573459672e+01 1.0000000000e-07 1.0000000000e-07 3.8538898118e+06 -1.2329791460e+07 6.0283312060e+01 6.0283312060e+01 5.1714217203e-20 -3.3707413739e+03 
2.0000000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4633691840e+00 1.7753722050e+01 1.2287860533e+01 9.5459379379e+05 2.1315487723e+01 -1.6862498710e+00 1.6480131114e+07 0.0000000000e+00 -7.9935206389e-01 -7.5817244613e-01 -1.9905672662e+00 -9.1056726668e-01 2.0000000000e+01 -4.8492679719e+06 1.3820451833e+05 -9.0543881742e+05 3.0000000000e+02 4.0614603931e+01 2.8350564031e+01 2.3851482820e+01 1.6661164598e+01 2.0000000000e+01 1.5514732330e-14 1.6480131114e+07 4.2467249100e-01 1.6480131114e+07 3.9576450717e+06 4.2802883345e-15 3.9576450717e+06 -1.5206731439e+07 -1.4143753732e-14 -1.5206731439e+07 5.5579901289e+01 3.6375768700e+01 1.0000000000e-07 1.0000000000e-07 3.9576450717e+06 -1.5206731439e+07 6.7072011238e+01 6.7072011238e+01 5.7840940977e-20 -3.9605515372e+03 
2.1800000000e-03 2.0000000000e+01 0.0000000000e+00 0.0000000000e+00 2.0000000000e+01 0.0000000000e+00 1.4631372204e+00 1.7637607311e+01 1.2212385860e+01 9.5712802343e+05 2.1314842698e+01 -1.7021468989e+00 1.8830730095e+07 0.0000000000e+00 -7.9915849657e-01 -7.5699418748e-01 -1.9903353032e+00 -9.1033530315e-01 2.0000000000e+01 -4.8785831546e+06 1.3945843561e+05 -9.0751446156e+05 3.0000000000e+02 4.0571685151e+01 2.8125588525e+01 2.3808576471e+01 1.6518718585e+01 2.0000000000e+01 1.5476349095e-14 1.8830730095e+07 4.2667444840e-01 1.8830730095e+07 5.2980275883e+06 4.2619304531e-15 5.2980275883e+06 -1.7094717120e+07 -1.4109062649e-14 -1.7094717120e+07 5.5524844567e+01 3.5937293386e+01 1.0000000000e-07 1.0000000000e-07 5.2980275883e+06 -1.7094717120e+07 9.6228592643e+01 9.6228592643e+01 6.9594389341e-20 -6.0174068164e+03 
